Ohne Medium_RI0,3_FA0,1_NL100;12500 mPas_RI0,3_FA0,1_NL100_1bar;100000 mPas_RI0,3_FA0,1_NL100_3 bar
-132,98;560,4585628;-84,29680622
-132,98;562,0488442;-84,29680622
-132,98;563,6415909;-85,12315621
-129,67;560,4585628;-83,47033234
-132,98;563,6415909;-84,29680622
-134,63;562,0488442;-87,60150253
-134,63;562,0488442;-85,12315621
-135,45;565,2368068;-84,29680622
-134,63;565,2368068;-83,47033234
-134,63;563,6415909;-83,47033234
-131,32;558,8707428;-80,16311881
-132,98;563,6415909;-81,81699711
-132,98;558,8707428;-83,47033234
-133,80;558,8707428;-81,81699711
-132,15;558,8707428;-81,81699711
-131,32;560,4585628;-81,81699711
-132,15;554,1220112;-85,94938629
-130,50;552,5439969;-82,64373063
-132,15;557,2853802;-86,77550041
-132,98;557,2853802;-85,94938629
-134,63;557,2853802;-84,29680622
-131,32;557,2853802;-85,12315621
-132,15;560,4585628;-85,94938629
-132,98;558,8707428;-89,25318665
-132,98;557,2853802;-86,77550041
-133,80;558,8707428;-87,60150253
-133,80;557,2853802;-86,77550041
-137,11;557,2853802;-86,77550041
-136,28;557,2853802;-85,12315621
-137,11;560,4585628;-85,12315621
-137,11;560,4585628;-86,77550041
-135,45;558,8707428;-82,64373063
-133,80;560,4585628;-81,81699711
-134,63;562,0488442;-81,81699711
-136,28;565,2368068;-81,81699711
-132,98;558,8707428;-80,16311881
-133,80;560,4585628;-82,64373063
-132,15;558,8707428;-83,47033234
-132,98;558,8707428;-83,47033234
-132,98;558,8707428;-85,12315621
-134,63;560,4585628;-85,12315621
-135,45;562,0488442;-85,94938629
-132,15;558,8707428;-83,47033234
-132,15;565,2368068;-85,12315621
-132,98;562,0488442;-85,12315621
-133,80;560,4585628;-84,29680622
-133,80;558,8707428;-84,29680622
-134,63;560,4585628;-85,12315621
-134,63;560,4585628;-86,77550041
-132,15;555,7024709;-83,47033234
-132,15;562,0488442;-85,12315621
-132,15;558,8707428;-84,29680622
-132,98;558,8707428;-84,29680622
-130,50;554,1220112;-83,47033234
-133,80;558,8707428;-84,29680622
-134,63;558,8707428;-86,77550041
-132,98;557,2853802;-85,12315621
-132,98;563,6415909;-85,94938629
-132,98;565,2368068;-85,12315621
-134,63;565,2368068;-83,47033234
-130,50;562,0488442;-80,16311881
-129,67;565,2368068;-80,99012782
-129,67;563,6415909;-83,47033234
-128,85;562,0488442;-81,81699711
-128,85;565,2368068;-83,47033234
-129,67;565,2368068;-83,47033234
-132,98;565,2368068;-85,94938629
-131,32;562,0488442;-80,99012782
-132,15;568,4346622;-81,81699711
-130,50;563,6415909;-83,47033234
-131,32;562,0488442;-82,64373063
-128,85;562,0488442;-81,81699711
-131,32;563,6415909;-82,64373063
-133,80;555,7024709;-85,94938629
-132,15;552,5439969;-83,47033234
-132,15;558,8707428;-85,94938629
-132,15;557,2853802;-84,29680622
-132,98;562,0488442;-83,47033234
