8000,,-185.8,-403.9
,,-185.5,-403.8
01:Graph01,,-185.2,-403.8
um,,-185.0,-403.8
02:Graph02,,-184.7,-403.9
um,,-184.4,-403.9
,,-184.1,-403.8
,,-183.6,-403.7
,,-183.2,-403.5
,,-182.8,-403.4
,,-182.6,-403.4
,,-182.6,-403.4
,,-182.4,-403.3
,,-182.2,-403.3
,,-182.0,-403.2
,,-181.7,-403.4
,,-181.3,-403.6
,,-181.0,-403.8
,,-180.7,-403.9
,,-180.2,-404.0
,,-180.0,-403.9
,,-179.6,-403.9
,,-179.3,-404.0
,,-178.9,-403.8
,,-178.5,-403.9
,,-178.1,-403.9
,,-177.8,-403.9
,,-177.6,-403.9
,,-177.4,-403.8
,,-177.3,-403.7
,,-177.1,-403.6
,,-176.9,-403.5
,,-176.6,-403.5
,,-176.3,-403.5
,,-176.1,-403.6
,,-175.7,-403.8
,,-175.5,-403.9
,,-175.1,-404.0
,,-174.8,-404.0
,,-174.6,-403.8
,,-174.3,-403.6
,,-174.0,-403.4
,,-173.5,-403.3
,,-173.0,-403.2
,,-172.4,-403.2
,,-172.0,-403.2
,,-171.8,-403.1
,,-171.6,-403.1
,,-171.3,-403.1
,,-171.0,-403.1
,,-170.6,-403.1
,,-170.2,-403.0
,,-169.8,-403.0
,,-169.3,-403.0
,,-169.0,-403.0
,,-168.7,-403.1
,,-168.5,-403.2
,,-168.2,-403.3
,,-168.0,-403.5
,,-167.6,-403.6
,,-167.2,-403.6
,,-166.8,-403.4
,,-166.4,-403.3
,,-166.1,-403.1
,,-165.7,-402.8
,,-165.2,-402.8
,,-164.8,-402.8
,,-164.4,-403.1
,,-164.0,-403.4
,,-163.9,-403.7
,,-163.7,-403.9
,,-163.5,-404.0
,,-163.2,-404.0
,,-162.8,-404.0
,,-162.4,-404.0
,,-162.0,-403.9
,,-161.6,-403.9
,,-161.3,-403.8
,,-160.8,-403.8
,,-160.3,-403.8
,,-159.9,-403.8
,,-159.4,-403.8
,,-158.9,-403.9
,,-158.5,-403.9
,,-158.2,-403.9
,,-157.8,-403.9
,,-157.5,-403.9
,,-157.1,-403.8
,,-156.5,-404.0
,,-156.0,-404.2
,,-155.5,-404.4
,,-155.0,-404.6
,,-154.6,-404.6
,,-154.3,-404.7
,,-154.0,-404.7
,,-153.6,-404.7
,,-153.3,-404.8
,,-153.0,-404.9
,,-152.7,-405.1
,,-152.3,-405.1
,,-151.8,-405.1
,,-151.1,-405.1
,,-150.3,-405.1
,,-149.7,-405.0
,,-149.2,-404.9
,,-148.8,-404.8
,,-148.7,-404.7
,,-148.3,-404.6
,,-147.8,-404.6
,,-147.2,-404.5
,,-146.6,-404.5
,,-146.3,-404.4
,,-146.0,-404.4
,,-145.7,-404.4
,,-145.4,-404.2
,,-145.1,-404.1
,,-144.7,-403.9
,,-144.2,-403.8
,,-143.6,-403.7
,,-142.9,-403.7
,,-142.3,-403.8
,,-141.8,-403.8
,,-141.5,-403.6
,,-141.2,-403.5
,,-140.9,-403.6
,,-140.5,-403.7
,,-140.2,-403.9
,,-139.7,-404.0
,,-139.4,-404.0
,,-138.9,-404.0
,,-138.4,-404.2
,,-137.9,-404.2
,,-137.4,-404.0
,,-137.0,-403.8
,,-136.6,-403.5
,,-136.0,-403.4
,,-135.4,-403.4
,,-134.9,-403.3
,,-134.2,-403.3
,,-133.6,-403.4
,,-133.1,-403.4
,,-132.5,-403.5
,,-132.3,-403.6
,,-132.0,-403.8
,,-131.7,-403.9
,,-131.4,-403.7
,,-130.7,-403.4
,,-130.2,-403.1
,,-129.5,-402.7
,,-128.9,-402.8
,,-128.5,-402.9
,,-127.9,-403.0
,,-127.3,-403.1
,,-126.7,-403.1
,,-126.2,-403.1
,,-125.7,-403.3
,,-125.2,-403.5
,,-124.7,-403.6
,,-124.2,-403.8
,,-124.0,-403.9
,,-123.5,-403.9
,,-122.9,-403.9
,,-122.4,-403.6
,,-121.6,-403.4
,,-121.1,-403.1
,,-120.7,-402.9
,,-120.2,-403.1
,,-119.8,-403.4
,,-119.6,-403.7
,,-119.2,-404.2
,,-118.8,-404.3
,,-118.5,-404.5
,,-117.8,-404.6
,,-117.2,-404.6
,,-116.6,-404.4
,,-115.9,-404.3
,,-115.4,-404.2
,,-115.0,-404.1
,,-114.3,-404.1
,,-113.9,-404.2
,,-113.4,-404.2
,,-112.9,-404.3
,,-112.5,-404.4
,,-112.0,-404.5
,,-111.6,-404.6
,,-111.0,-404.7
,,-110.5,-404.7
,,-109.9,-404.7
,,-109.2,-404.7
,,-108.9,-404.7
,,-108.5,-404.7
,,-108.2,-404.6
,,-107.9,-404.6
,,-107.3,-404.4
,,-106.6,-404.4
,,-105.9,-404.4
,,-105.0,-404.5
,,-104.4,-404.7
,,-103.8,-404.7
,,-103.3,-404.7
,,-102.9,-404.7
,,-102.4,-404.7
,,-101.8,-404.7
,,-101.4,-404.6
,,-100.9,-404.5
,,-100.4,-404.4
,,-99.9,-404.3
,,-99.4,-404.2
,,-98.9,-404.2
,,-98.2,-404.1
,,-97.5,-404.0
,,-96.8,-404.0
,,-96.2,-404.0
,,-95.8,-404.1
,,-95.2,-404.2
,,-94.7,-404.2
,,-94.0,-404.2
,,-93.5,-404.1
,,-93.1,-404.0
,,-92.4,-403.8
,,-91.9,-403.6
,,-91.2,-403.4
,,-90.4,-403.2
,,-89.8,-402.9
,,-89.1,-402.7
,,-88.5,-402.6
,,-88.1,-402.4
,,-87.6,-402.4
,,-87.2,-402.3
,,-86.5,-402.2
,,-85.9,-402.2
,,-85.4,-401.8
,,-84.7,-401.5
,,-84.1,-401.2
,,-83.6,-400.8
,,-82.9,-400.7
,,-82.3,-400.6
,,-81.9,-400.4
,,-81.3,-400.0
,,-80.7,-399.6
,,-80.0,-399.2
,,-79.3,-398.8
,,-78.6,-398.6
,,-77.9,-398.5
,,-77.5,-398.3
,,-77.1,-397.8
,,-76.7,-397.0
,,-76.1,-396.2
,,-75.4,-395.2
,,-74.8,-394.3
,,-74.4,-393.8
,,-73.8,-393.3
,,-73.1,-393.0
,,-72.4,-392.6
,,-71.6,-392.2
,,-71.0,-391.6
,,-70.4,-390.8
,,-69.8,-390.1
,,-69.1,-389.4
,,-68.5,-388.8
,,-68.1,-388.5
,,-67.8,-387.7
,,-67.3,-387.1
,,-66.7,-386.2
,,-65.9,-385.2
,,-65.1,-384.3
,,-64.3,-383.1
,,-63.7,-382.1
,,-63.3,-381.1
,,-62.7,-380.1
,,-62.2,-379.3
,,-61.4,-378.2
,,-60.7,-377.1
,,-59.9,-376.2
,,-59.1,-374.6
,,-58.5,-373.1
,,-58.1,-371.6
,,-57.7,-370.1
,,-57.5,-369.2
,,-56.7,-368.5
,,-55.9,-367.2
,,-55.2,-365.9
,,-54.5,-364.6
,,-54.0,-363.1
,,-53.7,-362.1
,,-53.2,-360.7
,,-52.6,-358.7
,,-51.9,-357.0
,,-51.1,-354.9
,,-50.3,-353.3
,,-49.4,-351.6
,,-48.9,-349.6
,,-48.1,-348.2
,,-47.5,-346.6
,,-47.0,-344.9
,,-46.3,-343.2
,,-45.8,-341.4
,,-45.2,-339.2
,,-44.7,-337.1
,,-44.2,-335.1
,,-43.7,-333.0
,,-43.0,-330.8
,,-42.2,-328.9
,,-41.4,-326.7
,,-40.9,-324.3
,,-40.4,-322.2
,,-39.9,-319.7
,,-39.3,-317.8
,,-38.6,-315.4
,,-37.8,-313.1
,,-36.9,-310.4
,,-36.0,-306.9
,,-34.8,-303.9
,,-33.9,-300.7
,,-33.4,-298.0
,,-32.8,-295.3
,,-32.7,-292.3
,,-32.3,-288.9
,,-31.6,-285.5
,,-30.7,-282.0
,,-29.9,-279.3
,,-29.1,-276.9
,,-28.5,-273.3
,,-27.9,-270.5
,,-27.2,-267.1
,,-26.6,-263.3
,,-26.1,-260.8
,,-25.6,-257.2
,,-25.2,-253.0
,,-24.7,-249.9
,,-24.2,-246.8
,,-23.8,-243.6
,,-23.6,-240.7
,,-23.3,-237.4
,,-23.0,-233.3
,,-22.8,-229.6
,,-22.5,-226.1
,,-22.0,-222.3
,,-21.6,-218.7
,,-21.2,-215.2
,,-20.8,-211.1
,,-20.5,-207.4
,,-20.3,-203.6
,,-19.8,-200.2
,,-19.3,-197.5
,,-18.8,-193.9
,,-18.4,-190.1
,,-18.3,-186.0
,,-18.2,-181.6
,,-18.2,-177.8
,,-18.1,-174.4
,,-18.1,-170.4
,,-18.2,-166.4
,,-18.1,-162.5
,,-18.1,-158.6
,,-18.2,-154.8
,,-18.1,-150.5
,,-18.0,-145.9
,,-18.0,-141.4
,,-17.9,-137.0
,,-17.9,-132.8
,,-18.0,-128.8
,,-18.1,-124.6
,,-18.1,-120.0
,,-18.2,-116.4
,,-18.3,-112.2
,,-18.3,-108.0
,,-18.4,-103.0
,,-18.4,-98.2
,,-18.5,-93.3
,,-18.7,-88.7
,,-18.9,-84.8
,,-19.0,-79.5
,,-19.1,-75.1
,,-19.1,-70.6
,,-19.0,-65.5
,,-19.0,-61.5
,,-19.0,-56.9
,,-19.2,-52.0
,,-19.3,-48.6
,,-19.5,-43.7
,,-19.7,-39.6
,,-19.9,-36.0
,,-20.1,-30.9
,,-20.2,-27.3
,,-20.3,-21.9
,,-20.4,-16.4
,,-20.5,-12.6
,,-20.7,-7.4
,,-20.8,-3.5
,,-20.8,0.3
,,-20.9,5.9
,,-20.9,9.9
,,-20.9,14.5
,,-20.9,19.0
,,-20.9,23.2
,,-21.1,27.7
,,-21.2,32.2
,,-21.4,37.0
,,-21.5,40.8
,,-21.6,45.9
,,-21.7,50.3
,,-21.8,54.9
,,-22.0,59.4
,,-22.2,63.3
,,-22.3,67.3
,,-22.3,70.9
,,-22.3,74.9
,,-22.4,79.4
,,-22.4,83.2
,,-22.4,88.3
,,-22.4,93.0
,,-22.4,96.8
,,-22.5,100.3
,,-22.6,104.0
,,-22.7,107.5
,,-22.7,111.5
,,-22.7,116.6
,,-22.8,120.6
,,-22.8,123.8
,,-22.8,127.3
,,-22.7,130.9
,,-22.5,134.1
,,-22.3,137.4
,,-22.2,140.6
,,-22.0,144.0
,,-22.0,147.1
,,-22.1,151.4
,,-22.2,154.6
,,-22.3,157.4
,,-22.4,160.8
,,-22.4,163.7
,,-22.5,167.4
,,-22.6,170.9
,,-22.6,174.6
,,-22.6,177.7
,,-22.6,180.8
,,-22.4,183.1
,,-22.4,185.6
,,-22.3,188.1
,,-22.2,190.3
,,-22.2,193.0
,,-22.3,195.7
,,-22.4,198.3
,,-22.5,200.5
,,-22.6,203.7
,,-22.6,205.7
,,-22.6,207.5
,,-22.5,209.9
,,-22.3,210.9
,,-22.1,212.7
,,-22.0,215.1
,,-21.9,217.3
,,-21.8,219.5
,,-21.8,221.5
,,-21.7,223.0
,,-21.7,224.2
,,-21.8,225.8
,,-21.8,227.3
,,-21.8,229.0
,,-21.8,231.3
,,-21.8,233.3
,,-21.7,234.6
,,-21.7,235.9
,,-21.7,236.3
,,-21.6,236.8
,,-21.6,237.6
,,-21.6,238.5
,,-21.6,239.5
,,-21.6,240.7
,,-21.6,241.8
,,-21.6,242.4
,,-21.7,243.2
,,-21.7,243.5
,,-21.7,244.0
,,-21.8,244.4
,,-21.8,244.9
,,-21.8,245.5
,,-21.9,246.0
,,-21.8,246.4
,,-21.7,246.6
,,-21.7,246.6
,,-21.7,246.8
,,-21.8,246.9
,,-21.9,246.8
,,-21.9,246.8
,,-21.9,246.8
,,-22.0,246.7
,,-21.9,246.7
,,-21.9,246.5
,,-21.8,246.1
,,-21.8,245.7
,,-21.8,245.2
,,-21.9,244.7
,,-22.0,244.5
,,-22.1,244.0
,,-22.1,243.8
,,-22.1,243.3
,,-21.9,242.9
,,-21.8,242.3
,,-21.6,241.6
,,-21.5,240.8
,,-21.6,239.9
,,-21.6,239.3
,,-21.6,238.6
,,-21.7,238.3
,,-21.5,237.4
,,-21.5,236.3
,,-21.4,235.2
,,-21.3,233.7
,,-21.3,232.3
,,-21.3,231.2
,,-21.3,230.1
,,-21.3,229.4
,,-21.4,228.6
,,-21.6,227.8
,,-21.7,226.8
,,-21.8,225.8
,,-21.7,224.7
,,-21.6,223.4
,,-21.4,222.2
,,-21.3,221.0
,,-21.2,219.6
,,-21.2,218.3
,,-21.2,217.0
,,-21.2,215.4
,,-21.3,214.5
,,-21.3,213.3
,,-21.4,211.5
,,-21.4,210.0
,,-21.4,208.5
,,-21.4,206.8
,,-21.5,205.6
,,-21.5,204.5
,,-21.5,203.0
,,-21.7,202.0
,,-21.8,200.8
,,-21.9,199.4
,,-22.1,197.8
,,-22.0,196.2
,,-22.0,194.6
,,-22.0,193.0
,,-21.9,191.9
,,-21.9,190.4
,,-21.9,189.3
,,-21.8,187.7
,,-21.9,186.0
,,-21.9,184.8
,,-21.8,183.3
,,-21.8,182.5
,,-21.7,181.6
,,-21.6,180.2
,,-21.6,178.6
,,-21.6,176.9
,,-21.6,175.3
,,-21.7,174.2
,,-21.8,173.2
,,-21.8,172.0
,,-21.7,170.8
,,-21.7,169.1
,,-21.6,167.7
,,-21.6,166.7
,,-21.8,165.8
,,-21.8,165.3
,,-21.8,164.4
,,-21.9,163.3
,,-21.9,162.5
,,-21.9,161.6
,,-21.8,160.8
,,-21.8,160.1
,,-21.7,159.3
,,-21.7,158.1
,,-21.7,157.2
,,-21.7,156.5
,,-21.8,155.8
,,-21.9,155.5
,,-21.9,155.1
,,-22.0,154.3
,,-22.1,153.7
,,-22.1,152.9
,,-22.1,152.2
,,-22.0,151.8
,,-21.8,151.5
,,-21.7,151.0
,,-21.5,150.5
